date,hospital_admission_rate,icu_hdu_admission_rate,test_positivity
2017-07-03,,,0.59
2017-07-10,,,0.0
2017-07-17,,,0.54
2017-07-24,,,0.5
2017-07-31,,,2.22
2017-08-07,,,0.0
2017-08-14,,,1.29
2017-08-21,,,0.6
2017-08-28,,,0.0
2017-09-04,,,1.63
2017-09-11,,,2.4
2017-09-18,,,0.42
2017-09-25,,,1.17
2017-10-02,,,2.8
2017-10-09,,,1.78
2017-10-16,,,0.4
2017-10-23,,,2.24
2017-10-30,,,0.92
2017-11-06,,,1.5
2017-11-13,,,0.86
2017-11-20,,,0.79
2017-11-27,,,1.02
2017-12-04,,,1.54
2017-12-11,,,4.79
2017-12-18,,,12.87
2017-12-25,,,22.73
2018-01-01,,,27.77
2018-01-08,,,25.53
2018-01-15,,,29.37
2018-01-22,,,26.18
2018-01-29,,,25.03
2018-02-05,,,27.48
2018-02-12,,,22.08
2018-02-19,,,28.55
2018-02-26,,,28.39
2018-03-05,,,24.04
2018-03-12,,,16.85
2018-03-19,,,18.39
2018-03-26,,,19.07
2018-04-02,,,21.7
2018-04-09,,,11.99
2018-04-16,,,8.04
2018-04-23,,,5.42
2018-04-30,,,2.99
2018-05-07,,,0.0
2018-05-14,,,1.47
2018-05-21,,,0.38
2018-05-28,,,0.41
2018-06-04,,,0.0
2018-06-11,,,0.0
2018-06-18,,,0.0
2018-06-25,,,0.0
2018-07-02,,,0.38
2018-07-09,,,0.45
2018-07-16,,,0.0
2018-07-23,,,0.0
2018-07-30,,,0.0
2018-08-06,,,0.0
2018-08-13,,,0.99
2018-08-20,,,0.0
2018-08-27,,,0.55
2018-09-03,,,0.53
2018-09-10,,,0.37
2018-09-17,,,0.0
2018-09-24,,,0.0
2018-10-01,,,0.31
2018-10-08,,,0.6
2018-10-15,,,0.68
2018-10-22,,,0.95
2018-10-29,,,1.63
2018-11-05,,,4.4
2018-11-12,,,3.25
2018-11-19,,,4.16
2018-11-26,,,5.24
2018-12-03,,,7.09
2018-12-10,,,13.72
2018-12-17,,,23.77
2018-12-24,,,30.2
2018-12-31,,,23.18
2019-01-07,,,21.61
2019-01-14,,,24.32
2019-01-21,,,27.39
2019-01-28,,,26.08
2019-02-04,,,25.28
2019-02-11,,,28.8
2019-02-18,,,23.35
2019-02-25,,,17.91
2019-03-04,,,10.2
2019-03-11,,,8.48
2019-03-18,,,7.38
2019-03-25,,,11.88
2019-04-01,,,5.79
2019-04-08,,,6.41
2019-04-15,,,8.96
2019-04-22,,,4.98
2019-04-29,,,3.77
2019-05-06,,,3.21
2019-05-13,,,1.72
2019-05-20,,,1.68
2019-05-27,,,2.53
2019-06-03,,,3.36
2019-06-10,,,2.45
2019-06-17,,,0.37
2019-06-24,,,0.78
2019-07-01,,,0.43
2019-07-08,,,0.36
2019-07-15,,,0.45
2019-07-22,,,0.0
2019-07-29,,,0.0
2019-08-05,,,0.57
2019-08-12,,,4.55
2019-08-19,,,0.45
2019-08-26,,,0.0
2019-09-02,,,0.48
2019-09-09,,,0.83
2019-09-16,,,0.35
2019-09-23,,,0.68
2019-09-30,,,0.91
2019-10-07,,,6.04
2019-10-14,,,4.25
2019-10-21,,,3.89
2019-10-28,,,7.08
2019-11-04,,,4.79
2019-11-11,,,6.21
2019-11-18,,,9.7
2019-11-25,,,11.76
2019-12-02,,,17.57
2019-12-09,,,21.74
2019-12-16,,,26.47
2019-12-23,,,26.45
2019-12-30,,,18.36
2020-01-06,,,11.93
2020-01-13,,,5.47
2020-01-20,,,4.95
2020-01-27,,,4.7
2020-02-03,,,3.56
2020-02-10,,,2.25
2020-02-17,,,3.07
2020-02-24,,,3.39
2020-03-02,,,4.44
2020-03-09,,,2.44
2020-03-16,,,1.01
2020-03-23,,,1.37
2020-03-30,,,0.0
2020-04-06,,,0.0
2020-04-13,,,9.4
2020-04-20,,,2.34
2020-04-27,,,0.27
2020-05-04,,,0.0
