date,hospital_admission_rate,icu_hdu_admission_rate,test_positivity
2020-09-28,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.53
2020-10-12,0.11,0.0,0.65
2020-10-19,0.11,0.0,0.0
2020-10-26,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.39
2021-04-05,0.0,0.0,0.0
2021-04-12,0.0,0.0,0.0
2021-04-19,0.0,0.0,0.0
2021-04-26,0.0,0.0,0.0
2021-05-03,0.0,0.0,0.0
2021-05-10,0.0,0.0,0.0
2021-05-17,0.0,0.0,0.0
2021-05-24,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0
2021-06-07,0.0,0.0,0.0
2021-06-14,0.0,0.0,0.0
2021-06-21,0.0,0.0,0.0
2021-06-28,0.0,0.0,0.0
2021-07-05,0.0,0.0,0.0
2021-07-12,0.0,0.0,0.0
2021-07-19,0.0,0.0,0.0
2021-07-26,0.0,0.0,0.0
2021-08-02,0.0,0.0,0.0
2021-08-09,0.0,0.0,0.0
2021-08-16,0.0,0.04,0.0
2021-08-23,0.0,0.04,0.0
2021-08-30,0.0,0.0,0.0
2021-09-06,0.0,0.0,0.0
2021-09-13,0.0,0.0,0.0
2021-09-20,0.0,0.0,0.93
2021-09-27,0.11,0.0,1.11
2021-10-04,1.58,0.0,0.72
2021-10-11,1.05,0.0,1.62
2021-10-18,0.42,0.0,0.58
2021-10-25,0.32,0.0,0.23
2021-11-01,0.11,0.0,0.17
2021-11-08,0.11,0.0,0.24
2021-11-15,0.11,0.0,0.0
2021-11-22,0.0,0.0,0.29
2021-11-29,0.21,0.0,0.91
2021-12-06,0.11,0.0,0.26
2021-12-13,0.0,0.0,0.0
2021-12-20,0.53,0.0,0.0
2021-12-27,0.11,0.0,0.0
2022-01-03,0.21,0.0,0.51
2022-01-10,0.0,0.0,0.0
2022-01-17,0.11,0.0,0.0
2022-01-24,0.32,0.0,0.0
2022-01-31,0.53,0.0,0.57
2022-02-07,0.11,0.0,0.0
2022-02-14,0.32,0.0,0.0
2022-02-21,0.84,0.0,2.25
2022-02-28,0.84,0.0,3.95
2022-03-07,1.37,0.0,0.82
2022-03-14,1.79,0.0,3.36
2022-03-21,0.53,0.0,1.51
2022-03-28,0.84,0.0,1.02
2022-04-04,1.05,0.0,1.65
2022-04-11,0.74,0.0,1.26
2022-04-18,1.05,0.0,1.37
2022-04-25,0.32,0.0,0.0
2022-05-02,0.42,0.0,1.21
2022-05-09,0.95,0.0,3.02
2022-05-16,0.21,0.0,0.46
2022-05-23,0.0,0.0,0.0
2022-05-30,0.21,0.0,0.55
2022-06-06,0.11,0.0,0.89
2022-06-13,0.11,0.0,0.65
2022-06-20,0.11,0.0,1.14
2022-06-27,0.11,0.0,0.48
2022-07-04,0.0,0.0,0.0
2022-09-26,0.74,0.0,1.53
2022-10-03,1.37,0.0,1.2
2022-10-17,2.11,0.03,3.23
2022-10-24,1.9,0.03,3.48
2022-10-31,2.0,0.0,3.16
2022-11-07,1.37,0.0,1.83
2022-11-14,2.85,0.0,8.18
2022-11-21,2.64,0.03,7.36
2022-11-28,4.11,0.11,15.5
2022-12-05,9.38,0.24,20.35
2022-12-12,9.38,0.27,19.58
2022-12-19,21.08,1.12,27.1
2022-12-26,17.08,0.35,23.47
2023-01-02,12.02,0.13,14.83
2023-01-09,5.27,0.21,8.77
2023-01-16,1.79,0.4,6.98
2023-01-23,2.21,0.03,3.0
2023-01-30,1.48,0.05,4.49
2023-02-06,1.27,0.08,3.15
2023-02-13,2.53,0.0,3.41
2023-02-20,2.11,0.13,1.34
2023-02-27,1.16,0.03,0.0
